Date,rf_rate
2015-03-03,2.2222222222222225e-06
2015-03-04,1.1111111111111112e-06
2015-03-05,2.2222222222222225e-06
2015-03-06,1.1111111111111112e-06
2015-03-09,2.2222222222222225e-06
2015-03-10,2.2222222222222225e-06
2015-03-11,3.333333333333333e-06
2015-03-12,3.333333333333333e-06
2015-03-13,3.333333333333333e-06
2015-03-16,5.555555555555556e-06
2015-03-17,5.555555555555556e-06
2015-03-18,3.333333333333333e-06
2015-03-19,3.333333333333333e-06
2015-03-20,1.1111111111111112e-06
2015-03-23,3.333333333333333e-06
2015-03-24,2.2222222222222225e-06
2015-03-25,4.444444444444445e-06
2015-03-26,3.333333333333333e-06
2015-03-27,4.444444444444445e-06
2015-03-30,4.444444444444445e-06
2015-03-31,3.333333333333333e-06
2015-04-01,3.333333333333333e-06
2015-04-02,2.2222222222222225e-06
2015-04-03,2.2222222222222225e-06
2015-04-06,3.333333333333333e-06
2015-04-07,2.2222222222222225e-06
2015-04-08,3.333333333333333e-06
2015-04-09,3.333333333333333e-06
2015-04-10,2.2222222222222225e-06
2015-04-13,3.333333333333333e-06
2015-04-14,2.2222222222222225e-06
2015-04-15,2.2222222222222225e-06
2015-04-16,2.2222222222222225e-06
2015-04-17,1.1111111111111112e-06
2015-04-20,3.333333333333333e-06
2015-04-21,3.333333333333333e-06
2015-04-22,3.333333333333333e-06
2015-04-23,3.333333333333333e-06
2015-04-24,3.333333333333333e-06
2015-04-27,2.2222222222222225e-06
2015-04-28,2.2222222222222225e-06
2015-04-29,1.1111111111111112e-06
2015-04-30,1.1111111111111112e-06
2015-05-01,1.1111111111111112e-06
2015-05-04,2.2222222222222225e-06
2015-05-05,1.1111111111111112e-06
2015-05-06,2.2222222222222225e-06
2015-05-07,1.1111111111111112e-06
2015-05-08,1.1111111111111112e-06
2015-05-11,2.2222222222222225e-06
2015-05-12,3.333333333333333e-06
2015-05-13,2.2222222222222225e-06
2015-05-14,1.1111111111111112e-06
2015-05-15,2.2222222222222225e-06
2015-05-18,2.2222222222222225e-06
2015-05-19,2.2222222222222225e-06
2015-05-20,2.2222222222222225e-06
2015-05-21,2.2222222222222225e-06
2015-05-22,2.2222222222222225e-06
2015-05-26,2.2222222222222225e-06
2015-05-27,1.1111111111111112e-06
2015-05-28,1.1111111111111112e-06
2015-05-29,1.1111111111111112e-06
2015-06-01,2.2222222222222225e-06
2015-06-02,1.1111111111111112e-06
2015-06-03,2.2222222222222225e-06
2015-06-04,2.2222222222222225e-06
2015-06-05,3.333333333333333e-06
2015-06-08,2.2222222222222225e-06
2015-06-09,2.2222222222222225e-06
2015-06-10,2.2222222222222225e-06
2015-06-11,1.1111111111111112e-06
2015-06-12,2.2222222222222225e-06
2015-06-15,2.2222222222222225e-06
2015-06-16,1.1111111111111112e-06
2015-06-17,1.1111111111111112e-06
2015-06-18,1.1111111111111112e-06
2015-06-19,1.1111111111111112e-06
2015-06-22,1.1111111111111112e-06
2015-06-23,1.1111111111111112e-06
2015-06-24,1.1111111111111112e-06
2015-06-25,1.1111111111111112e-06
2015-06-26,1.1111111111111112e-06
2015-06-29,2.2222222222222225e-06
2015-06-30,1.1111111111111112e-06
2015-07-01,1.1111111111111112e-06
2015-07-02,1.1111111111111112e-06
2015-07-06,2.2222222222222225e-06
2015-07-07,2.2222222222222225e-06
2015-07-08,2.2222222222222225e-06
2015-07-09,3.333333333333333e-06
2015-07-10,1.1111111111111112e-06
2015-07-13,2.2222222222222225e-06
2015-07-14,1.1111111111111112e-06
2015-07-15,2.2222222222222225e-06
2015-07-16,2.2222222222222225e-06
2015-07-17,3.333333333333333e-06
2015-07-20,4.444444444444445e-06
2015-07-21,3.333333333333333e-06
2015-07-22,4.444444444444445e-06
2015-07-23,3.333333333333333e-06
2015-07-24,4.444444444444445e-06
2015-07-27,5.555555555555556e-06
2015-07-28,5.555555555555556e-06
2015-07-29,6.666666666666666e-06
2015-07-30,7.77777777777778e-06
2015-07-31,8.88888888888889e-06
2015-08-03,8.88888888888889e-06
2015-08-04,8.88888888888889e-06
2015-08-05,8.88888888888889e-06
2015-08-06,4.444444444444445e-06
2015-08-07,6.666666666666666e-06
2015-08-10,1.3333333333333332e-05
2015-08-11,1.1111111111111112e-05
2015-08-12,1.1111111111111112e-05
2015-08-13,1.1111111111111112e-05
2015-08-14,9.999999999999999e-06
2015-08-17,1.1111111111111112e-05
2015-08-18,7.77777777777778e-06
2015-08-19,5.555555555555556e-06
2015-08-20,2.2222222222222225e-06
2015-08-21,3.333333333333333e-06
2015-08-24,6.666666666666666e-06
2015-08-25,7.77777777777778e-06
2015-08-26,6.666666666666666e-06
2015-08-27,6.666666666666666e-06
2015-08-28,6.666666666666666e-06
2015-08-31,8.88888888888889e-06
2015-09-01,3.333333333333333e-06
2015-09-02,3.333333333333333e-06
2015-09-03,2.2222222222222225e-06
2015-09-04,2.2222222222222225e-06
2015-09-08,6.666666666666666e-06
2015-09-09,3.333333333333333e-06
2015-09-10,2.2222222222222225e-06
2015-09-11,4.444444444444445e-06
2015-09-14,7.77777777777778e-06
2015-09-15,7.77777777777778e-06
2015-09-16,6.666666666666666e-06
2015-09-17,1.1111111111111112e-06
2015-09-18,-1.1111111111111112e-06
2015-09-21,1.1111111111111112e-06
2015-09-22,-1.1111111111111112e-06
2015-09-23,1.1111111111111112e-06
2015-09-24,1.1111111111111112e-06
2015-09-25,-1.1111111111111112e-06
2015-09-28,1.1111111111111112e-06
2015-09-29,1.1111111111111112e-06
2015-09-30,-1.1111111111111112e-06
2015-10-01,-2.2222222222222225e-06
2015-10-02,0.0
2015-10-05,1.1111111111111112e-06
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,-1.1111111111111112e-06
2015-10-09,1.1111111111111112e-06
2015-10-13,1.1111111111111112e-06
2015-10-14,0.0
2015-10-15,1.1111111111111112e-06
2015-10-16,1.1111111111111112e-06
2015-10-19,2.2222222222222225e-06
2015-10-20,2.2222222222222225e-06
2015-10-21,1.1111111111111112e-06
2015-10-22,0.0
2015-10-23,1.1111111111111112e-06
2015-10-26,2.2222222222222225e-06
2015-10-27,3.333333333333333e-06
2015-10-28,4.444444444444445e-06
2015-10-29,7.77777777777778e-06
2015-10-30,8.88888888888889e-06
2015-11-02,8.88888888888889e-06
2015-11-03,6.666666666666666e-06
2015-11-04,5.555555555555556e-06
2015-11-05,5.555555555555556e-06
2015-11-06,8.88888888888889e-06
2015-11-09,1.555555555555556e-05
2015-11-10,1.4444444444444444e-05
2015-11-12,1.555555555555556e-05
2015-11-13,1.4444444444444444e-05
2015-11-16,1.6666666666666667e-05
2015-11-17,1.555555555555556e-05
2015-11-18,1.3333333333333332e-05
2015-11-19,1.2222222222222222e-05
2015-11-20,1.2222222222222222e-05
2015-11-23,1.555555555555556e-05
2015-11-24,1.777777777777778e-05
2015-11-25,2.111111111111111e-05
2015-11-27,1.888888888888889e-05
2015-11-30,2.4444444444444445e-05
2015-12-01,2.3333333333333332e-05
2015-12-02,2.3333333333333332e-05
2015-12-03,2.3333333333333332e-05
2015-12-04,2.4444444444444445e-05
2015-12-07,3.222222222222222e-05
2015-12-08,3e-05
2015-12-09,2.8888888888888888e-05
2015-12-10,2.6666666666666663e-05
2015-12-11,2.4444444444444445e-05
2015-12-14,2.8888888888888888e-05
2015-12-15,2.777777777777778e-05
2015-12-16,3e-05
2015-12-17,2.5555555555555554e-05
2015-12-18,2.111111111111111e-05
2015-12-21,2.6666666666666663e-05
2015-12-22,2.3333333333333332e-05
2015-12-23,2.2222222222222223e-05
2015-12-24,2.2222222222222223e-05
2015-12-28,2.5555555555555554e-05
2015-12-29,2.5555555555555554e-05
2015-12-30,2.3333333333333332e-05
2015-12-31,1.777777777777778e-05
2016-01-04,2.4444444444444445e-05
2016-01-05,2.2222222222222223e-05
2016-01-06,2.3333333333333332e-05
2016-01-07,2.2222222222222223e-05
2016-01-08,2.2222222222222223e-05
2016-01-11,2.3333333333333332e-05
2016-01-12,2.3333333333333332e-05
2016-01-13,2.4444444444444445e-05
2016-01-14,2.777777777777778e-05
2016-01-15,2.5555555555555554e-05
2016-01-19,2.8888888888888888e-05
2016-01-20,2.8888888888888888e-05
2016-01-21,3.111111111111112e-05
2016-01-22,3.3333333333333335e-05
2016-01-25,3.444444444444444e-05
2016-01-26,3.444444444444444e-05
2016-01-27,3.555555555555556e-05
2016-01-28,3.777777777777778e-05
2016-01-29,3.555555555555556e-05
2016-02-01,3.8888888888888884e-05
2016-02-02,3.777777777777778e-05
2016-02-03,3.6666666666666666e-05
2016-02-04,3.222222222222222e-05
2016-02-05,3.222222222222222e-05
2016-02-08,3.555555555555556e-05
2016-02-09,3.3333333333333335e-05
2016-02-10,3.444444444444444e-05
2016-02-11,3.111111111111112e-05
2016-02-12,3.222222222222222e-05
2016-02-16,3.3333333333333335e-05
2016-02-17,3.3333333333333335e-05
2016-02-18,3.3333333333333335e-05
2016-02-19,3.3333333333333335e-05
2016-02-22,3.6666666666666666e-05
2016-02-23,3.555555555555556e-05
2016-02-24,3.6666666666666666e-05
2016-02-25,3.555555555555556e-05
2016-02-26,3.555555555555556e-05
2016-02-29,3.6666666666666666e-05
2016-03-01,3.6666666666666666e-05
2016-03-02,3.8888888888888884e-05
2016-03-03,3e-05
2016-03-04,3.111111111111112e-05
2016-03-07,3.555555555555556e-05
2016-03-08,3.222222222222222e-05
2016-03-09,3.3333333333333335e-05
2016-03-10,3.444444444444444e-05
2016-03-11,3.555555555555556e-05
2016-03-14,3.777777777777778e-05
2016-03-15,3.777777777777778e-05
2016-03-16,3.444444444444444e-05
2016-03-17,3.222222222222222e-05
2016-03-18,3.222222222222222e-05
2016-03-21,3.444444444444444e-05
2016-03-22,3.3333333333333335e-05
2016-03-23,3.3333333333333335e-05
2016-03-24,3.222222222222222e-05
2016-03-28,3.222222222222222e-05
2016-03-29,2.5555555555555554e-05
2016-03-30,2.2222222222222223e-05
2016-03-31,2.3333333333333332e-05
2016-04-01,2.5555555555555554e-05
2016-04-04,2.5555555555555554e-05
2016-04-05,2.5555555555555554e-05
2016-04-06,2.5555555555555554e-05
2016-04-07,2.5555555555555554e-05
2016-04-08,2.5555555555555554e-05
2016-04-11,2.5555555555555554e-05
2016-04-12,2.4444444444444445e-05
2016-04-13,2.5555555555555554e-05
2016-04-14,2.4444444444444445e-05
2016-04-15,2.4444444444444445e-05
2016-04-18,2.4444444444444445e-05
2016-04-19,2.3333333333333332e-05
2016-04-20,2.5555555555555554e-05
2016-04-21,2.5555555555555554e-05
2016-04-22,2.5555555555555554e-05
2016-04-25,2.777777777777778e-05
2016-04-26,2.6666666666666663e-05
2016-04-27,2.6666666666666663e-05
2016-04-28,2.4444444444444445e-05
2016-04-29,2.4444444444444445e-05
2016-05-02,2.4444444444444445e-05
2016-05-03,2.3333333333333332e-05
2016-05-04,2.111111111111111e-05
2016-05-05,2.2222222222222223e-05
2016-05-06,2.111111111111111e-05
2016-05-09,2.6666666666666663e-05
2016-05-10,2.6666666666666663e-05
2016-05-11,2.8888888888888888e-05
2016-05-12,3e-05
2016-05-13,3.111111111111112e-05
2016-05-16,3.111111111111112e-05
2016-05-17,3.111111111111112e-05
2016-05-18,3.3333333333333335e-05
2016-05-19,3.3333333333333335e-05
2016-05-20,3.555555555555556e-05
2016-05-23,3.8888888888888884e-05
2016-05-24,3.8888888888888884e-05
2016-05-25,3.6666666666666666e-05
2016-05-26,3.3333333333333335e-05
2016-05-27,3.444444444444444e-05
2016-05-31,3.777777777777778e-05
2016-06-01,3.3333333333333335e-05
2016-06-02,3.111111111111112e-05
2016-06-03,3.222222222222222e-05
2016-06-06,3.111111111111112e-05
2016-06-07,3.111111111111112e-05
2016-06-08,2.6666666666666663e-05
2016-06-09,2.777777777777778e-05
2016-06-10,2.777777777777778e-05
2016-06-13,3e-05
2016-06-14,3e-05
2016-06-15,2.8888888888888888e-05
2016-06-16,3e-05
2016-06-17,2.8888888888888888e-05
2016-06-20,3.111111111111112e-05
2016-06-21,3e-05
2016-06-22,3e-05
2016-06-23,3.3333333333333335e-05
2016-06-24,2.8888888888888888e-05
2016-06-27,3e-05
2016-06-28,2.8888888888888888e-05
2016-06-29,2.8888888888888888e-05
2016-06-30,2.8888888888888888e-05
2016-07-01,3e-05
2016-07-05,3.111111111111112e-05
2016-07-06,3e-05
2016-07-07,3.222222222222222e-05
2016-07-08,3e-05
2016-07-11,3.444444444444444e-05
2016-07-12,3.222222222222222e-05
2016-07-13,3.444444444444444e-05
2016-07-14,3.444444444444444e-05
2016-07-15,3.444444444444444e-05
2016-07-18,3.555555555555556e-05
2016-07-19,3.444444444444444e-05
2016-07-20,3.555555555555556e-05
2016-07-21,3.444444444444444e-05
2016-07-22,3.555555555555556e-05
2016-07-25,3.555555555555556e-05
2016-07-26,3.444444444444444e-05
2016-07-27,3.444444444444444e-05
2016-07-28,2.777777777777778e-05
2016-07-29,3e-05
2016-08-01,3.222222222222222e-05
2016-08-02,3.222222222222222e-05
2016-08-03,3.111111111111112e-05
2016-08-04,2.8888888888888888e-05
2016-08-05,3e-05
2016-08-08,3.444444444444444e-05
2016-08-09,3.222222222222222e-05
2016-08-10,3.111111111111112e-05
2016-08-11,3.111111111111112e-05
2016-08-12,3.111111111111112e-05
2016-08-15,3.444444444444444e-05
2016-08-16,3e-05
2016-08-17,3.3333333333333335e-05
2016-08-18,3.222222222222222e-05
2016-08-19,3.222222222222222e-05
2016-08-22,3.222222222222222e-05
2016-08-23,3.3333333333333335e-05
2016-08-24,3.444444444444444e-05
2016-08-25,3.6666666666666666e-05
2016-08-26,3.6666666666666666e-05
2016-08-29,3.6666666666666666e-05
2016-08-30,3.6666666666666666e-05
2016-08-31,3.6666666666666666e-05
2016-09-01,3.6666666666666666e-05
2016-09-02,3.555555555555556e-05
2016-09-06,3.555555555555556e-05
2016-09-07,3.777777777777778e-05
2016-09-08,3.777777777777778e-05
2016-09-09,3.777777777777778e-05
2016-09-12,4.1111111111111116e-05
2016-09-13,3.9999999999999996e-05
2016-09-14,3.6666666666666666e-05
2016-09-15,3.222222222222222e-05
2016-09-16,3.222222222222222e-05
2016-09-19,3.3333333333333335e-05
2016-09-20,3.3333333333333335e-05
2016-09-21,2.4444444444444445e-05
2016-09-22,1.9999999999999998e-05
2016-09-23,1.9999999999999998e-05
2016-09-26,2.777777777777778e-05
2016-09-27,2.8888888888888888e-05
2016-09-28,3e-05
2016-09-29,2.8888888888888888e-05
2016-09-30,3.111111111111112e-05
2016-10-03,3.555555555555556e-05
2016-10-04,3.6666666666666666e-05
2016-10-05,3.555555555555556e-05
2016-10-06,3.555555555555556e-05
2016-10-07,3.555555555555556e-05
2016-10-11,3.8888888888888884e-05
2016-10-12,3.9999999999999996e-05
2016-10-13,3.222222222222222e-05
2016-10-14,3.444444444444444e-05
2016-10-17,3.777777777777778e-05
2016-10-18,3.777777777777778e-05
2016-10-19,3.777777777777778e-05
2016-10-20,3.777777777777778e-05
2016-10-21,3.6666666666666666e-05
2016-10-24,3.6666666666666666e-05
2016-10-25,3.777777777777778e-05
2016-10-26,3.6666666666666666e-05
2016-10-27,3.222222222222222e-05
2016-10-28,3.222222222222222e-05
2016-10-31,3.777777777777778e-05
2016-11-01,3.8888888888888884e-05
2016-11-02,3.9999999999999996e-05
2016-11-03,4.1111111111111116e-05
2016-11-04,4.1111111111111116e-05
2016-11-07,4.555555555555555e-05
2016-11-08,4.777777777777778e-05
2016-11-09,4.888888888888889e-05
2016-11-10,5.2222222222222214e-05
2016-11-14,6e-05
2016-11-15,5.555555555555556e-05
2016-11-16,5.111111111111111e-05
2016-11-17,4.777777777777778e-05
2016-11-18,4.777777777777778e-05
2016-11-21,5.111111111111111e-05
2016-11-22,5.3333333333333326e-05
2016-11-23,5.555555555555556e-05
2016-11-25,5.3333333333333326e-05
2016-11-28,5.3333333333333326e-05
2016-11-29,5.3333333333333326e-05
2016-11-30,5.3333333333333326e-05
2016-12-01,5.2222222222222214e-05
2016-12-02,5.3333333333333326e-05
2016-12-05,5.4444444444444446e-05
2016-12-06,5.4444444444444446e-05
2016-12-07,5.666666666666667e-05
2016-12-08,5.555555555555556e-05
2016-12-09,5.888888888888889e-05
2016-12-12,5.666666666666667e-05
2016-12-13,6e-05
2016-12-14,6e-05
2016-12-15,5.555555555555556e-05
2016-12-16,5.555555555555556e-05
2016-12-19,5.7777777777777776e-05
2016-12-20,5.7777777777777776e-05
2016-12-21,5.666666666666667e-05
2016-12-22,5.555555555555556e-05
2016-12-23,5.666666666666667e-05
2016-12-27,5.666666666666667e-05
2016-12-28,5.7777777777777776e-05
2016-12-29,5.111111111111111e-05
2016-12-30,5.555555555555556e-05
2017-01-03,5.888888888888889e-05
2017-01-04,5.7777777777777776e-05
2017-01-05,5.666666666666667e-05
2017-01-06,5.7777777777777776e-05
2017-01-09,5.555555555555556e-05
2017-01-10,5.666666666666667e-05
2017-01-11,5.666666666666667e-05
2017-01-12,5.666666666666667e-05
2017-01-13,5.7777777777777776e-05
2017-01-17,6e-05
2017-01-18,5.7777777777777776e-05
2017-01-19,5.666666666666667e-05
2017-01-20,5.4444444444444446e-05
2017-01-23,5.666666666666667e-05
2017-01-24,5.555555555555556e-05
2017-01-25,5.4444444444444446e-05
2017-01-26,5.555555555555556e-05
2017-01-27,5.666666666666667e-05
2017-01-30,5.666666666666667e-05
2017-01-31,5.7777777777777776e-05
2017-02-01,5.555555555555556e-05
2017-02-02,5.666666666666667e-05
2017-02-03,5.555555555555556e-05
2017-02-06,5.888888888888889e-05
2017-02-07,5.888888888888889e-05
2017-02-08,5.888888888888889e-05
2017-02-09,5.888888888888889e-05
2017-02-10,6e-05
2017-02-13,5.7777777777777776e-05
2017-02-14,6e-05
2017-02-15,5.888888888888889e-05
2017-02-16,5.7777777777777776e-05
2017-02-17,5.7777777777777776e-05
2017-02-21,5.888888888888889e-05
2017-02-22,5.7777777777777776e-05
2017-02-23,5.666666666666667e-05
2017-02-24,5.666666666666667e-05
2017-02-27,5.555555555555556e-05
2017-02-28,5.888888888888889e-05
2017-03-01,6.888888888888888e-05
2017-03-02,7.333333333333333e-05
2017-03-03,7.777777777777777e-05
2017-03-06,8.11111111111111e-05
2017-03-07,8.333333333333333e-05
2017-03-08,7.999999999999999e-05
2017-03-09,7.999999999999999e-05
2017-03-10,8.11111111111111e-05
2017-03-13,8.666666666666667e-05
2017-03-14,8.555555555555556e-05
2017-03-15,7.999999999999999e-05
2017-03-16,7.999999999999999e-05
2017-03-17,7.999999999999999e-05
2017-03-20,8.333333333333333e-05
2017-03-21,8.444444444444444e-05
2017-03-22,8.444444444444444e-05
2017-03-23,8.333333333333333e-05
2017-03-24,8.555555555555556e-05
2017-03-27,8.555555555555556e-05
